timeWindowStart,views,ttr,dailyUniqueVisitors
2023-06-29T19:00:00,1,0.0,143
2023-06-29T20:00:00,4,239.772,142
2023-06-29T21:00:00,9,735.527,136
2023-06-29T22:00:00,17,453.142,138
2023-06-29T23:00:00,8,10.147,152
2023-06-30T00:00:00,10,316.618,155
2023-06-30T01:00:00,15,730.203,161
2023-06-30T02:00:00,13,604.389,165
2023-06-30T03:00:00,18,1256.941,164
2023-06-30T04:00:00,5,202.731,168
2023-06-30T05:00:00,9,250.567,171
2023-06-30T06:00:00,10,250.319,167
2023-06-30T07:00:00,10,282.436,169
2023-06-30T08:00:00,8,734.647,170
2023-06-30T09:00:00,11,445.788,172
2023-06-30T10:00:00,21,1517.947,170
2023-06-30T11:00:00,16,413.997,166
2023-06-30T12:00:00,10,419.625,174
2023-06-30T13:00:00,7,542.653,177
2023-06-30T14:00:00,9,528.771,176
2023-06-30T15:00:00,9,693.998,176
2023-06-30T17:00:00,3,590.73,174
2023-06-30T18:00:00,5,19.348,170
2023-06-30T19:00:00,1,9.178,171
2023-06-30T20:00:00,3,91.334,171
2023-06-30T21:00:00,6,122.1,169
2023-06-30T22:00:00,3,50.058,166
2023-06-30T23:00:00,2,234.862,152
2023-07-01T00:00:00,4,107.572,147
2023-07-01T01:00:00,3,208.249,142
2023-07-01T02:00:00,1,226.015,133
2023-07-01T03:00:00,0,79.017,126
2023-07-01T04:00:00,2,297.424,112
2023-07-01T05:00:00,1,0.0,109
2023-07-01T07:00:00,2,17.8,96
2023-07-01T08:00:00,4,193.038,91
2023-07-01T10:00:00,2,128.956,83
2023-07-01T12:00:00,1,0.0,66
2023-07-01T13:00:00,5,434.695,58
2023-07-01T15:00:00,3,81.03,44
2023-07-01T16:00:00,4,17.483,43
2023-07-01T17:00:00,1,2.082,46
2023-07-01T19:00:00,2,12.877,41
2023-07-01T20:00:00,1,0.0,43
2023-07-01T22:00:00,1,0.0,36
2023-07-01T23:00:00,1,53.958,34
2023-07-02T01:00:00,2,48.366,29
2023-07-02T02:00:00,4,3.07,29
2023-07-02T03:00:00,2,34.767,32
2023-07-02T04:00:00,1,0.0,33
2023-07-02T05:00:00,0,4.08,31
2023-07-02T06:00:00,3,48.131,30
2023-07-02T07:00:00,2,233.786,33
2023-07-02T08:00:00,1,0.0,33
2023-07-02T09:00:00,1,209.711,30
2023-07-02T10:00:00,1,2.304,31
2023-07-02T11:00:00,1,3.398,30
2023-07-02T12:00:00,1,1.774,31
2023-07-02T13:00:00,3,183.19,30
2023-07-02T14:00:00,9,361.684,31
2023-07-02T16:00:00,0,1.009,31
2023-07-02T17:00:00,1,401.64,28
2023-07-02T18:00:00,2,22.606,28
2023-07-02T19:00:00,5,79.501,30
2023-07-02T20:00:00,3,54.025,31
2023-07-02T21:00:00,8,192.983,33
2023-07-02T22:00:00,2,6.624,40
2023-07-02T23:00:00,3,102.876,41
2023-07-03T00:00:00,6,361.04,43
2023-07-03T01:00:00,8,302.779,48
2023-07-03T02:00:00,14,862.077,54
2023-07-03T03:00:00,9,2376.391,63
2023-07-03T04:00:00,9,483.351,70
2023-07-03T05:00:00,5,980.577,76
2023-07-03T06:00:00,8,735.228,81
2023-07-03T07:00:00,6,262.965,84
2023-07-03T08:00:00,14,1296.945,85
2023-07-03T09:00:00,8,249.93,95
2023-07-03T10:00:00,10,331.006,100
2023-07-03T11:00:00,4,70.254,106
2023-07-03T12:00:00,7,203.054,107
2023-07-03T13:00:00,1,12.243,113
2023-07-03T14:00:00,3,104.145,111
2023-07-03T15:00:00,6,184.565,111
2023-07-03T16:00:00,2,43.723,116
2023-07-03T17:00:00,3,40.802,118
2023-07-03T18:00:00,3,12.954,120
2023-07-03T19:00:00,2,48.235,120
2023-07-03T20:00:00,6,71.863,119
2023-07-03T21:00:00,6,615.941,119
2023-07-03T22:00:00,13,573.13,119
2023-07-03T23:00:00,10,250.344,127
2023-07-04T00:00:00,12,694.284,132
2023-07-04T01:00:00,11,662.306,138
2023-07-04T02:00:00,17,1072.346,136
2023-07-04T03:00:00,17,1519.285,137
2023-07-04T04:00:00,12,1327.978,139
2023-07-04T05:00:00,9,241.818,137
2023-07-04T06:00:00,6,841.314,142
2023-07-04T07:00:00,15,224.831,138
2023-07-04T08:00:00,5,95.634,140
2023-07-04T09:00:00,4,362.699,134
2023-07-04T10:00:00,3,287.575,130
2023-07-04T11:00:00,3,191.507,126
2023-07-04T12:00:00,1,76.249,125
2023-07-04T13:00:00,2,593.792,120
2023-07-04T14:00:00,6,401.592,121
2023-07-04T15:00:00,4,558.39,120
2023-07-04T16:00:00,10,767.78,117
2023-07-04T17:00:00,2,7.875,121
2023-07-04T18:00:00,4,156.077,120
2023-07-04T19:00:00,2,20.805,119
2023-07-04T20:00:00,7,232.067,118
2023-07-04T21:00:00,6,896.81,121
2023-07-04T22:00:00,5,537.775,120
2023-07-04T23:00:00,7,651.936,116
2023-07-05T00:00:00,9,957.509,112
2023-07-05T01:00:00,9,257.753,108
2023-07-05T02:00:00,11,674.992,108
2023-07-05T03:00:00,8,520.145,106
2023-07-05T04:00:00,7,480.887,106
2023-07-05T05:00:00,8,170.804,104
2023-07-05T06:00:00,5,784.019,104
2023-07-05T07:00:00,8,735.571,106
2023-07-05T08:00:00,5,312.849,105
2023-07-05T09:00:00,18,452.379,106
2023-07-05T10:00:00,14,802.584,117
2023-07-05T11:00:00,4,153.171,127
2023-07-05T12:00:00,17,919.912,131
2023-07-05T13:00:00,7,735.18,142
2023-07-05T14:00:00,6,182.714,146
2023-07-05T15:00:00,18,785.658,150
2023-07-05T16:00:00,12,667.107,158
2023-07-05T17:00:00,9,814.952,162
2023-07-05T18:00:00,3,155.947,167
2023-07-05T19:00:00,6,312.928,169
2023-07-05T20:00:00,10,533.725,172
2023-07-05T21:00:00,10,944.636,174
2023-07-05T22:00:00,13,401.068,175
2023-07-05T23:00:00,3,52.459,181
2023-07-06T00:00:00,10,532.17,178
2023-07-06T01:00:00,6,255.837,179
2023-07-06T02:00:00,12,370.265,178
2023-07-06T03:00:00,20,1189.712,177
2023-07-06T04:00:00,13,590.039,181
2023-07-06T05:00:00,11,197.934,182
2023-07-06T06:00:00,9,718.559,186
2023-07-06T07:00:00,11,933.546,189
2023-07-06T08:00:00,8,527.663,187
2023-07-06T09:00:00,14,465.931,190
2023-07-06T10:00:00,16,915.47,187
2023-07-06T11:00:00,9,483.596,184
2023-07-06T12:00:00,15,547.081,186
2023-07-06T13:00:00,7,1346.709,185
2023-07-06T14:00:00,7,345.117,184
2023-07-06T15:00:00,16,889.238,184
2023-07-06T16:00:00,8,646.964,183
2023-07-06T17:00:00,13,589.258,182
2023-07-06T18:00:00,6,247.39,183
2023-07-06T19:00:00,7,128.234,185
2023-07-06T20:00:00,10,284.132,186
2023-07-06T21:00:00,14,1743.785,184
2023-07-06T22:00:00,8,644.92,185
2023-07-06T23:00:00,8,264.102,184
2023-07-07T00:00:00,6,69.43,185
2023-07-07T01:00:00,10,347.267,184
2023-07-07T02:00:00,15,706.211,184
2023-07-07T03:00:00,14,999.762,187
2023-07-07T04:00:00,11,485.705,186
2023-07-07T05:00:00,0,57.828,188
2023-07-07T06:00:00,5,112.472,177
2023-07-07T07:00:00,5,344.18,174
2023-07-07T08:00:00,7,684.146,172
2023-07-07T09:00:00,11,222.536,169
2023-07-07T10:00:00,11,632.641,168
2023-07-07T11:00:00,3,504.977,165
2023-07-07T12:00:00,10,483.005,160
2023-07-07T13:00:00,7,371.567,160
2023-07-07T14:00:00,6,329.846,157
2023-07-07T15:00:00,5,83.698,158
2023-07-07T16:00:00,2,86.699,154
2023-07-07T17:00:00,6,212.318,149
2023-07-07T18:00:00,4,391.245,141
2023-07-07T19:00:00,0,34.316,139
2023-07-07T20:00:00,2,157.158,133
2023-07-07T21:00:00,5,32.725,130
2023-07-07T22:00:00,2,121.855,125
2023-07-07T23:00:00,2,3.091,120
2023-07-08T00:00:00,1,1.001,115
2023-07-08T01:00:00,5,56.364,112
2023-07-08T02:00:00,1,26.335,111
2023-07-08T03:00:00,3,105.164,99
2023-07-08T07:00:00,3,77.497,76
2023-07-08T08:00:00,2,119.49,74
2023-07-08T09:00:00,1,0.0,72
2023-07-08T10:00:00,1,0.0,66
2023-07-08T14:00:00,1,113.84,42
2023-07-08T15:00:00,5,57.326,37
2023-07-08T16:00:00,2,174.46,37
2023-07-08T17:00:00,2,351.792,36
2023-07-08T18:00:00,4,1366.504,34
2023-07-08T19:00:00,2,1.852,36
2023-07-08T20:00:00,3,25.724,37
2023-07-08T21:00:00,6,224.678,37
2023-07-08T22:00:00,1,70.102,37
2023-07-08T23:00:00,1,11.304,38
2023-07-09T01:00:00,3,76.355,36
2023-07-09T02:00:00,2,77.447,33
2023-07-09T03:00:00,2,80.607,34
2023-07-09T04:00:00,5,145.177,33
2023-07-09T05:00:00,4,245.056,36
2023-07-09T06:00:00,5,210.037,40
2023-07-09T07:00:00,0,343.352,43
2023-07-09T08:00:00,3,0.0,40
2023-07-09T09:00:00,1,47.416,41
2023-07-09T10:00:00,4,5.34,41
2023-07-09T11:00:00,2,118.538,44
2023-07-09T12:00:00,2,15.127,46
2023-07-09T13:00:00,4,114.743,48
2023-07-09T14:00:00,1,0.0,52
2023-07-09T15:00:00,1,1191.925,53
2023-07-09T16:00:00,2,14.104,50
2023-07-09T17:00:00,0,3.401,50
2023-07-09T18:00:00,3,41.269,49
2023-07-09T19:00:00,2,35.15,48
2023-07-09T20:00:00,3,639.893,49
2023-07-09T21:00:00,6,55.841,49
2023-07-09T22:00:00,13,705.889,50
2023-07-09T23:00:00,4,266.047,59
2023-07-10T00:00:00,4,258.983,62
2023-07-10T01:00:00,13,802.182,66
2023-07-10T02:00:00,9,371.031,74
2023-07-10T03:00:00,11,683.829,80
2023-07-10T04:00:00,7,548.081,88
2023-07-10T05:00:00,10,625.042,93
2023-07-10T06:00:00,7,230.78,97
2023-07-10T07:00:00,4,260.314,99
2023-07-10T08:00:00,5,368.964,103
2023-07-10T09:00:00,7,234.28,105
2023-07-10T10:00:00,13,912.46,110
2023-07-10T11:00:00,15,503.671,115
2023-07-10T12:00:00,5,54.529,121
2023-07-10T13:00:00,11,722.527,122
2023-07-10T14:00:00,7,1303.316,127
2023-07-10T15:00:00,7,87.382,129
2023-07-10T16:00:00,4,90.874,134
2023-07-10T17:00:00,8,558.502,135
2023-07-10T18:00:00,5,84.492,141
2023-07-10T19:00:00,3,194.127,142
2023-07-10T20:00:00,9,389.381,141
2023-07-10T21:00:00,13,962.221,145
2023-07-10T22:00:00,10,1347.846,151
2023-07-10T23:00:00,4,303.797,148
2023-07-11T00:00:00,12,1220.219,148
2023-07-11T01:00:00,11,931.47,156
2023-07-11T02:00:00,12,551.96,153
2023-07-11T03:00:00,9,870.177,155
2023-07-11T04:00:00,10,1012.894,153
2023-07-11T05:00:00,7,200.923,153
2023-07-11T06:00:00,14,1153.711,152
2023-07-11T07:00:00,10,553.103,155
2023-07-11T08:00:00,12,712.079,155
2023-07-11T09:00:00,13,488.45,154
2023-07-11T10:00:00,12,705.331,157
2023-07-11T11:00:00,9,1236.43,159
2023-07-11T12:00:00,5,776.244,162
2023-07-11T13:00:00,16,1581.787,162
2023-07-11T14:00:00,11,549.603,163
2023-07-11T15:00:00,5,623.391,168
2023-07-11T16:00:00,11,575.393,164
2023-07-11T17:00:00,9,501.56,168
2023-07-11T18:00:00,7,256.222,170
2023-07-11T19:00:00,1,31.0,171
2023-07-11T20:00:00,12,831.878,170
2023-07-11T21:00:00,13,1028.545,174
2023-07-11T22:00:00,10,748.637,171
2023-07-11T23:00:00,6,731.344,167
2023-07-12T00:00:00,10,494.611,165
2023-07-12T01:00:00,10,775.072,160
2023-07-12T02:00:00,21,2227.639,159
2023-07-12T03:00:00,12,1380.252,161
2023-07-12T04:00:00,13,455.503,163
2023-07-12T05:00:00,7,1001.434,165
2023-07-12T06:00:00,9,701.07,165
2023-07-12T07:00:00,12,92.288,168
2023-07-12T08:00:00,4,508.486,167
2023-07-12T09:00:00,7,490.707,163
2023-07-12T10:00:00,7,661.188,160
2023-07-12T11:00:00,15,414.307,155
2023-07-12T12:00:00,10,777.795,154
2023-07-12T13:00:00,5,814.46,159
2023-07-12T14:00:00,7,170.327,158
2023-07-12T15:00:00,14,1774.729,154
2023-07-12T16:00:00,6,311.03,160
2023-07-12T17:00:00,13,422.663,158
2023-07-12T18:00:00,7,108.176,153
2023-07-12T19:00:00,5,105.738,154
2023-07-12T20:00:00,10,827.195,157
2023-07-12T21:00:00,4,913.741,156
2023-07-12T22:00:00,6,419.744,152
2023-07-12T23:00:00,4,963.045,152
2023-07-13T00:00:00,12,414.061,155
2023-07-13T01:00:00,13,1565.964,155
2023-07-13T02:00:00,18,487.097,160
2023-07-13T03:00:00,18,2434.229,161
2023-07-13T04:00:00,17,1344.296,162
2023-07-13T05:00:00,7,121.444,161
2023-07-13T06:00:00,14,534.549,161
2023-07-13T07:00:00,5,75.538,167
2023-07-13T08:00:00,9,1643.023,168
2023-07-13T09:00:00,8,285.551,173
2023-07-13T10:00:00,13,1135.215,175
2023-07-13T11:00:00,15,587.256,178
2023-07-13T12:00:00,10,441.138,179
2023-07-13T13:00:00,4,86.895,178
2023-07-13T14:00:00,12,1081.733,176
2023-07-13T15:00:00,7,260.88,177
2023-07-13T16:00:00,4,70.62,173
2023-07-13T17:00:00,4,253.998,171
2023-07-13T18:00:00,10,943.91,167
2023-07-13T19:00:00,6,487.573,166
2023-07-13T20:00:00,6,1187.98,167
2023-07-13T21:00:00,8,878.138,167
2023-07-13T22:00:00,6,207.87,169
2023-07-13T23:00:00,7,1211.161,171
2023-07-14T00:00:00,10,1296.604,171
2023-07-14T01:00:00,8,1280.998,171
2023-07-14T02:00:00,15,944.578,165
2023-07-14T03:00:00,7,725.534,165
2023-07-14T04:00:00,4,136.005,160
2023-07-14T05:00:00,6,896.509,154
2023-07-14T06:00:00,5,306.093,152
2023-07-14T07:00:00,7,474.405,143
2023-07-14T08:00:00,9,690.968,142
2023-07-14T09:00:00,12,643.637,140
2023-07-14T10:00:00,3,55.236,144
2023-07-14T11:00:00,5,305.138,140
2023-07-14T12:00:00,9,154.544,131
2023-07-14T13:00:00,2,411.563,131
2023-07-14T14:00:00,6,238.784,130
2023-07-14T15:00:00,6,231.581,127
2023-07-14T16:00:00,7,605.493,128
2023-07-14T17:00:00,12,2144.95,130
2023-07-14T18:00:00,3,343.021,134
2023-07-14T19:00:00,1,0.0,131
2023-07-14T21:00:00,6,459.323,124
2023-07-14T23:00:00,1,0.0,114
2023-07-15T01:00:00,1,23.813,103
2023-07-15T02:00:00,2,0.0,98
2023-07-15T03:00:00,2,179.032,91
2023-07-15T04:00:00,5,197.054,87
2023-07-15T05:00:00,4,89.783,86
2023-07-15T06:00:00,2,0.0,83
2023-07-15T07:00:00,0,7.057,80
2023-07-15T08:00:00,3,74.908,75
2023-07-15T09:00:00,1,0.0,73
2023-07-15T10:00:00,1,163.827,64
2023-07-15T11:00:00,1,10.646,62
2023-07-15T12:00:00,2,25.126,59
2023-07-15T13:00:00,0,6.861,53
2023-07-15T15:00:00,1,41.465,46
2023-07-15T16:00:00,0,10.346,41
2023-07-15T17:00:00,3,77.79,36
2023-07-15T18:00:00,1,76.472,32
2023-07-15T19:00:00,0,33.569,30
2023-07-15T20:00:00,1,25.71,29
2023-07-15T21:00:00,1,125.247,29
2023-07-15T22:00:00,2,28.815,28
2023-07-16T00:00:00,3,37.847,29
2023-07-16T01:00:00,1,0.0,32
2023-07-16T03:00:00,1,6.206,30
2023-07-16T05:00:00,0,45.368,26
2023-07-16T06:00:00,2,24.734,22
2023-07-16T07:00:00,2,44.634,22
2023-07-16T08:00:00,1,138.532,24
2023-07-16T09:00:00,4,291.824,22
2023-07-16T10:00:00,1,56.387,23
2023-07-16T12:00:00,3,1098.273,22
2023-07-16T13:00:00,3,88.358,21
2023-07-16T14:00:00,1,53.679,24
2023-07-16T15:00:00,1,32.14,25
2023-07-16T16:00:00,1,0.0,25
2023-07-16T17:00:00,2,76.648,26
2023-07-16T19:00:00,1,11.14,27
2023-07-16T20:00:00,3,367.121,28
2023-07-16T21:00:00,3,324.554,30
2023-07-16T22:00:00,5,104.11,31
2023-07-16T23:00:00,0,171.145,32
2023-07-17T00:00:00,2,1.638,32
2023-07-17T01:00:00,4,48.082,31
2023-07-17T02:00:00,2,304.585,34
2023-07-17T03:00:00,5,158.583,36
2023-07-17T04:00:00,9,468.481,40
2023-07-17T05:00:00,8,130.507,47
2023-07-17T06:00:00,5,231.7,54
2023-07-17T07:00:00,4,201.154,56
2023-07-17T08:00:00,7,180.061,56
2023-07-17T09:00:00,5,250.676,58
2023-07-17T10:00:00,11,518.027,59
2023-07-17T11:00:00,11,1913.748,68
2023-07-17T12:00:00,5,476.339,78
2023-07-17T13:00:00,9,390.759,81
2023-07-17T14:00:00,6,617.513,85
2023-07-17T15:00:00,11,304.384,89
2023-07-17T16:00:00,6,107.241,97
2023-07-17T17:00:00,6,237.195,99
2023-07-17T18:00:00,2,83.446,100
2023-07-17T19:00:00,4,70.699,101
2023-07-17T20:00:00,3,368.952,104
2023-07-17T21:00:00,15,670.131,104
2023-07-17T22:00:00,12,926.292,110
2023-07-17T23:00:00,5,995.422,115
2023-07-18T00:00:00,8,273.516,120
2023-07-18T01:00:00,9,337.232,124
2023-07-18T02:00:00,8,277.905,127
2023-07-18T03:00:00,14,929.557,132
2023-07-18T04:00:00,9,620.553,136
2023-07-18T05:00:00,5,774.191,138
2023-07-18T06:00:00,2,67.862,136
2023-07-18T07:00:00,4,31.477,136
2023-07-18T08:00:00,4,216.422,136
2023-07-18T09:00:00,3,64.199,136
2023-07-18T10:00:00,9,997.17,135
2023-07-18T11:00:00,17,309.661,134
2023-07-18T12:00:00,13,1706.909,141
2023-07-18T13:00:00,5,543.017,143
2023-07-18T14:00:00,8,527.799,143
2023-07-18T15:00:00,7,71.324,143
2023-07-18T16:00:00,8,696.934,143
2023-07-18T17:00:00,5,104.97,145
2023-07-18T19:00:00,1,162.828,140
2023-07-18T20:00:00,3,136.869,137
2023-07-18T21:00:00,6,142.274,138
2023-07-18T22:00:00,3,130.494,138
2023-07-18T23:00:00,6,87.375,129
2023-07-19T00:00:00,14,547.462,129
2023-07-19T01:00:00,16,758.569,131
2023-07-19T02:00:00,16,1022.099,136
2023-07-19T03:00:00,7,616.173,141
2023-07-19T04:00:00,5,419.224,137
2023-07-19T05:00:00,8,724.138,132
2023-07-19T06:00:00,8,168.418,134
2023-07-19T07:00:00,3,184.869,139
2023-07-19T08:00:00,9,190.499,138
2023-07-19T09:00:00,9,204.742,140
2023-07-19T10:00:00,13,1160.218,144
2023-07-19T11:00:00,6,836.871,150
2023-07-19T12:00:00,9,621.291,142
2023-07-19T13:00:00,7,1240.992,139
2023-07-19T14:00:00,8,255.735,140
2023-07-19T15:00:00,2,120.547,141
2023-07-19T16:00:00,8,244.758,136
2023-07-19T17:00:00,6,461.905,133
2023-07-19T18:00:00,2,52.178,135
2023-07-19T19:00:00,2,167.257,136
2023-07-19T20:00:00,8,268.918,138
2023-07-19T21:00:00,4,85.046,139
2023-07-19T22:00:00,10,430.958,137
2023-07-19T23:00:00,4,92.747,140
2023-07-20T00:00:00,7,463.805,138
2023-07-20T01:00:00,4,158.766,135
2023-07-20T02:00:00,10,690.526,126
2023-07-20T03:00:00,10,485.459,124
2023-07-20T04:00:00,14,434.056,125
2023-07-20T05:00:00,6,719.481,129
2023-07-20T06:00:00,5,1059.812,128
2023-07-20T07:00:00,5,446.41,124
2023-07-20T08:00:00,6,22.578,126
2023-07-20T09:00:00,9,322.995,124
2023-07-20T10:00:00,11,296.251,124
2023-07-20T11:00:00,13,711.524,120
2023-07-20T12:00:00,6,294.477,124
2023-07-20T13:00:00,15,1216.103,123
2023-07-20T14:00:00,5,497.107,129
2023-07-20T15:00:00,11,1120.554,124
2023-07-20T16:00:00,6,257.661,132
2023-07-20T17:00:00,15,679.07,132
2023-07-20T18:00:00,11,475.187,132
2023-07-20T19:00:00,6,240.413,132
2023-07-20T20:00:00,11,194.987,133
2023-07-20T21:00:00,4,447.307,131
2023-07-20T22:00:00,9,495.499,130
2023-07-20T23:00:00,6,393.01,133
2023-07-21T00:00:00,9,283.197,136
2023-07-21T01:00:00,4,415.74,136
2023-07-21T02:00:00,8,887.541,138
2023-07-21T03:00:00,18,512.572,137
2023-07-21T04:00:00,7,348.224,140
2023-07-21T05:00:00,9,686.41,138
2023-07-21T06:00:00,5,299.534,141
2023-07-21T07:00:00,6,99.112,141
2023-07-21T08:00:00,8,456.152,142
2023-07-21T09:00:00,8,143.633,144
2023-07-21T10:00:00,14,905.672,142
2023-07-21T11:00:00,8,398.041,147
2023-07-21T12:00:00,7,136.824,142
2023-07-21T13:00:00,10,383.819,138
2023-07-21T14:00:00,5,359.382,134
2023-07-21T15:00:00,6,129.157,135
2023-07-21T16:00:00,8,432.755,132
2023-07-21T17:00:00,6,791.787,133
2023-07-21T18:00:00,3,278.531,130
2023-07-21T19:00:00,6,968.572,130
2023-07-21T20:00:00,3,25.229,129
2023-07-21T21:00:00,3,232.391,128
2023-07-21T22:00:00,6,147.476,128
2023-07-21T23:00:00,2,788.046,123
2023-07-22T00:00:00,2,89.155,118
2023-07-22T01:00:00,2,385.45,112
2023-07-22T02:00:00,4,77.093,110
2023-07-22T03:00:00,11,321.581,107
2023-07-22T04:00:00,5,1099.098,101
2023-07-22T06:00:00,1,107.361,91
2023-07-22T07:00:00,0,419.48,88
2023-07-22T09:00:00,1,3.857,77
2023-07-22T10:00:00,2,57.023,74
2023-07-22T11:00:00,9,799.351,63
2023-07-22T13:00:00,1,20.435,59
2023-07-22T14:00:00,1,31.001,53
2023-07-22T15:00:00,2,64.187,49
2023-07-22T16:00:00,7,848.882,46
2023-07-22T17:00:00,5,373.534,49
2023-07-22T18:00:00,3,232.69,49
2023-07-22T19:00:00,3,179.412,49
2023-07-22T20:00:00,1,0.0,49
2023-07-22T21:00:00,2,85.886,48
2023-07-23T01:00:00,2,4.913,41
2023-07-23T02:00:00,3,26.313,40
2023-07-23T03:00:00,2,149.159,39
2023-07-23T04:00:00,2,284.404,38
2023-07-23T05:00:00,2,236.627,35
2023-07-23T06:00:00,4,233.563,37
2023-07-23T07:00:00,1,224.356,38
2023-07-23T08:00:00,4,78.819,39
2023-07-23T09:00:00,1,41.411,42
2023-07-23T10:00:00,3,19.91,42
2023-07-23T11:00:00,3,34.245,43
2023-07-23T12:00:00,2,147.967,41
2023-07-23T13:00:00,4,867.317,43
2023-07-23T14:00:00,1,59.186,46
2023-07-23T15:00:00,1,0.0,46
2023-07-23T17:00:00,1,11.462,40
2023-07-23T18:00:00,1,0.0,38
2023-07-23T19:00:00,0,134.66,37
2023-07-23T20:00:00,2,578.058,34
2023-07-23T21:00:00,5,292.077,35
2023-07-23T22:00:00,5,768.405,37
2023-07-23T23:00:00,5,171.506,40
2023-07-24T00:00:00,3,1.129,45
2023-07-24T01:00:00,9,396.143,48
2023-07-24T02:00:00,6,339.771,52
2023-07-24T03:00:00,9,328.315,55
2023-07-24T04:00:00,7,951.0,61
2023-07-24T05:00:00,6,226.675,65
2023-07-24T06:00:00,6,321.781,67
2023-07-24T07:00:00,6,348.278,69
2023-07-24T08:00:00,7,1734.381,72
2023-07-24T09:00:00,8,849.633,72
2023-07-24T10:00:00,13,1165.753,76
2023-07-24T11:00:00,16,1698.076,81
2023-07-24T12:00:00,15,991.005,89
2023-07-24T13:00:00,6,395.817,98
2023-07-24T14:00:00,11,1189.544,99
2023-07-24T15:00:00,7,419.083,106
2023-07-24T16:00:00,12,192.934,110
2023-07-24T17:00:00,10,649.016,117
2023-07-24T18:00:00,1,13.5,120
2023-07-24T19:00:00,3,1.0,120
2023-07-24T20:00:00,5,44.86,123
2023-07-24T21:00:00,16,2024.788,127
2023-07-24T22:00:00,6,588.156,130
2023-07-24T23:00:00,7,543.594,131
2023-07-25T00:00:00,17,1423.498,132
2023-07-25T01:00:00,19,1429.503,139
2023-07-25T02:00:00,8,800.612,143
2023-07-25T03:00:00,10,1542.226,145
2023-07-25T04:00:00,19,1898.995,144
2023-07-25T05:00:00,7,492.159,150
2023-07-25T06:00:00,11,659.034,151
2023-07-25T07:00:00,5,721.563,153
2023-07-25T08:00:00,5,790.911,154
2023-07-25T09:00:00,9,345.624,156
2023-07-25T10:00:00,21,847.095,157
2023-07-25T11:00:00,19,1333.53,164
2023-07-25T12:00:00,16,749.338,169
2023-07-25T13:00:00,15,714.674,172
2023-07-25T14:00:00,13,1235.902,177
2023-07-25T15:00:00,12,785.903,176
2023-07-25T16:00:00,15,2280.729,174
2023-07-25T17:00:00,9,1694.202,181
2023-07-25T18:00:00,6,117.684,185
2023-07-25T19:00:00,7,470.464,190
2023-07-25T20:00:00,9,141.498,192
2023-07-25T21:00:00,13,549.215,197
2023-07-25T22:00:00,7,990.564,195
2023-07-25T23:00:00,2,167.064,196
2023-07-26T00:00:00,10,379.633,194
2023-07-26T01:00:00,15,734.029,194
2023-07-26T02:00:00,15,1527.108,187
2023-07-26T03:00:00,28,1030.93,192
2023-07-26T04:00:00,12,941.953,194
2023-07-26T05:00:00,27,685.854,193
2023-07-26T06:00:00,38,395.798,196
2023-07-26T07:00:00,4,189.828,193
2023-07-26T08:00:00,20,1112.891,191
2023-07-26T09:00:00,16,703.241,201
2023-07-26T10:00:00,13,753.731,208
2023-07-26T11:00:00,18,1396.701,199
2023-07-26T12:00:00,4,381.211,196
2023-07-26T13:00:00,15,772.664,188
2023-07-26T14:00:00,9,245.68,190
2023-07-26T15:00:00,9,803.694,189
2023-07-26T16:00:00,9,663.873,192
2023-07-26T17:00:00,3,417.957,189
2023-07-26T18:00:00,3,132.916,185
2023-07-26T19:00:00,4,171.961,184
2023-07-26T20:00:00,9,397.987,183
2023-07-26T21:00:00,14,1107.853,183
2023-07-26T22:00:00,4,878.719,187
2023-07-26T23:00:00,21,590.919,186
2023-07-27T00:00:00,16,2025.992,193
2023-07-27T01:00:00,19,393.725,193
2023-07-27T02:00:00,16,1126.785,193
2023-07-27T03:00:00,16,1219.387,194
2023-07-27T04:00:00,9,1935.655,197
2023-07-27T05:00:00,14,498.677,196
2023-07-27T06:00:00,9,365.106,195
2023-07-27T07:00:00,9,606.442,196
2023-07-27T08:00:00,11,441.652,200
2023-07-27T09:00:00,9,380.073,192
2023-07-27T10:00:00,11,635.555,191
2023-07-27T11:00:00,6,255.044,194
2023-07-27T12:00:00,5,483.808,187
2023-07-27T13:00:00,3,98.336,187
2023-07-27T14:00:00,11,910.711,178
2023-07-27T15:00:00,5,357.893,176
2023-07-27T16:00:00,6,437.798,172
2023-07-27T17:00:00,4,138.465,171
2023-07-27T18:00:00,3,38.074,172
2023-07-27T19:00:00,4,115.261,172
2023-07-27T20:00:00,9,848.764,172
2023-07-27T21:00:00,6,270.283,173
2023-07-27T22:00:00,9,743.294,168
2023-07-27T23:00:00,4,218.516,169
2023-07-28T00:00:00,5,123.886,167
2023-07-28T01:00:00,9,475.425,162
2023-07-28T02:00:00,17,1189.397,153
2023-07-28T03:00:00,11,530.897,154
2023-07-28T04:00:00,8,327.631,150
2023-07-28T05:00:00,8,399.464,148
2023-07-28T06:00:00,15,436.947,145
2023-07-28T07:00:00,8,451.235,147
2023-07-28T08:00:00,10,484.016,145
2023-07-28T09:00:00,4,232.305,144
2023-07-28T10:00:00,10,718.288,139
2023-07-28T11:00:00,24,706.513,131
2023-07-28T12:00:00,4,441.571,141
2023-07-28T13:00:00,8,299.952,142
2023-07-28T14:00:00,6,425.772,142
2023-07-28T15:00:00,7,269.849,141
2023-07-28T16:00:00,5,177.445,140
2023-07-28T17:00:00,9,208.466,139
